n,target,ilp_successes,ilp_runtime_median,ilp_runtime_min,ilp_runtime_max,ilp_timeouts,pb_successes,pb_quality_mean,pb_quality_sd,pb_runtime_median,pb_runtime_min,pb_runtime_max,pb_timeouts,ppo_successes,ppo_quality_mean,ppo_quality_sd,ppo_runtime_median,ppo_runtime_min,ppo_runtime_max,ppo_timeouts
10,20,4,0.01,0.01,0.01,0,4,20.0,0.0,4.4350000000000005,4.39,4.47,0,1,1.75,1.2583057392117916,120.005,5.54,120.01,3
11,22,4,0.02,0.01,0.03,0,4,22.0,0.0,12.49,8.33,16.54,0,0,2.5,0.5773502691896257,120.01,120.0,120.01,4
12,24,4,0.03,0.01,0.04,0,4,24.0,0.0,26.83,22.22,43.89,0,0,7.5,2.0816659994661326,120.005,120.0,120.01,4
13,26,4,0.05,0.03,0.06,0,0,25.0,0.0,120.0,120.0,120.0,4,0,9.75,0.9574271077563381,120.005,120.0,120.01,4
14,28,4,0.155,0.09,0.42,0,0,27.0,0.0,120.01,120.01,120.01,4,0,12.0,0.816496580927726,120.01,120.0,120.01,4
15,30,4,0.6,0.14,2.16,0,0,28.5,0.5773502691896257,120.0,120.0,120.01,4,0,13.0,0.816496580927726,120.0,120.0,120.01,4
16,32,4,3.34,1.06,10.03,0,0,30.25,0.5,120.015,120.0,120.02,4,0,15.0,1.1547005383792515,120.005,120.0,120.01,4
17,34,4,41.635000000000005,3.83,42.16,0,0,31.75,0.5,120.015,120.01,120.02,4,0,16.5,1.2909944487358056,120.0,120.0,120.01,4
18,36,2,97.93,20.47,120.01,2,0,33.25,0.5,120.0,120.0,120.02,4,0,17.25,0.5,120.0,120.0,120.0,4
19,38,0,120.01,120.01,120.01,4,0,34.5,0.5773502691896257,120.005,120.0,120.01,4,0,20.0,0.816496580927726,120.0,120.0,120.01,4
