method,seed,n,target,success,quality,runtime_minutes,timed_out,process_status,detail_status,return_code,source_path
ilp,0,10,20,1,20.0,0.01,0,completed,optimal,0,fixed_timeout_runs/ilp/20260630_083954/ilp_summary.csv
ilp,0,11,22,1,22.0,0.01,0,completed,optimal,0,fixed_timeout_runs/ilp/20260630_083954/ilp_summary.csv
ilp,0,12,24,1,24.0,0.03,0,completed,optimal,0,fixed_timeout_runs/ilp/20260630_083954/ilp_summary.csv
ilp,0,13,26,1,26.0,0.05,0,completed,optimal,0,fixed_timeout_runs/ilp/20260630_083954/ilp_summary.csv
ilp,0,14,28,1,28.0,0.13,0,completed,optimal,0,fixed_timeout_runs/ilp/20260630_083954/ilp_summary.csv
ilp,0,15,30,1,30.0,0.44,0,completed,optimal,0,fixed_timeout_runs/ilp/20260630_083954/ilp_summary.csv
ilp,0,16,32,1,32.0,1.17,0,completed,optimal,0,fixed_timeout_runs/ilp/20260630_083954/ilp_summary.csv
ilp,0,17,34,1,34.0,42.16,0,completed,optimal,0,fixed_timeout_runs/ilp/20260630_083954/ilp_summary.csv
ilp,0,18,36,1,36.0,20.47,0,completed,optimal,0,fixed_timeout_runs/ilp/20260630_083954/ilp_summary.csv
ilp,0,19,38,0,,120.01,1,failed_return_1,time_limit,1,fixed_timeout_runs/ilp/20260630_083954/ilp_summary.csv
ilp,1,10,20,1,20.0,0.01,0,completed,optimal,0,fixed_timeout_runs/ilp/20260630_114424/ilp_summary.csv
ilp,1,11,22,1,22.0,0.03,0,completed,optimal,0,fixed_timeout_runs/ilp/20260630_114424/ilp_summary.csv
ilp,1,12,24,1,24.0,0.01,0,completed,optimal,0,fixed_timeout_runs/ilp/20260630_114424/ilp_summary.csv
ilp,1,13,26,1,26.0,0.06,0,completed,optimal,0,fixed_timeout_runs/ilp/20260630_114424/ilp_summary.csv
ilp,1,14,28,1,28.0,0.42,0,completed,optimal,0,fixed_timeout_runs/ilp/20260630_114424/ilp_summary.csv
ilp,1,15,30,1,30.0,0.76,0,completed,optimal,0,fixed_timeout_runs/ilp/20260630_114424/ilp_summary.csv
ilp,1,16,32,1,32.0,10.03,0,completed,optimal,0,fixed_timeout_runs/ilp/20260630_114424/ilp_summary.csv
ilp,1,17,34,1,34.0,3.83,0,completed,optimal,0,fixed_timeout_runs/ilp/20260630_114424/ilp_summary.csv
ilp,1,18,36,1,36.0,75.85,0,completed,optimal,0,fixed_timeout_runs/ilp/20260630_114424/ilp_summary.csv
ilp,1,19,38,0,,120.01,1,failed_return_1,time_limit,1,fixed_timeout_runs/ilp/20260630_114424/ilp_summary.csv
ilp,2,10,20,1,20.0,0.01,0,completed,optimal,0,fixed_timeout_runs/ilp/20260630_151526/ilp_summary.csv
ilp,2,11,22,1,22.0,0.03,0,completed,optimal,0,fixed_timeout_runs/ilp/20260630_151526/ilp_summary.csv
ilp,2,12,24,1,24.0,0.03,0,completed,optimal,0,fixed_timeout_runs/ilp/20260630_151526/ilp_summary.csv
ilp,2,13,26,1,26.0,0.05,0,completed,optimal,0,fixed_timeout_runs/ilp/20260630_151526/ilp_summary.csv
ilp,2,14,28,1,28.0,0.18,0,completed,optimal,0,fixed_timeout_runs/ilp/20260630_151526/ilp_summary.csv
ilp,2,15,30,1,30.0,0.14,0,completed,optimal,0,fixed_timeout_runs/ilp/20260630_151526/ilp_summary.csv
