method,n,seed,initial_jobs,initial_job_target_training_size,initial_parallelism,status,init_status,train_status,init_return_code,train_return_code,target_points,best_pre_saturation_score,best_post_saturation_score,hit_target,target_gap,result_status,generation_reached,termination_reason,elapsed_seconds,elapsed_minutes,target_training_size,batch_size,initial_keep_best_fraction,train_keep_best_fraction,max_epochs,max_steps,device,num_workers,timeout_seconds,experiment_name,init_log,train_log
patternboost,10,3,20,100,10,completed,completed,completed,0,0,20,18,20,1,0,solved,1,target_reached,266.3,4.44,2000,500,0.1,0.1,1000,2000,cpu,0,7200,fixed_timeout_20260702_012952_N10_S3,/Users/pranavr/Developer/Work/STRIDE/fixed_timeout_runs/patternboost/20260702_012952/N10/initial_generation.log,/Users/pranavr/Developer/Work/STRIDE/fixed_timeout_runs/patternboost/20260702_012952/N10/training.log
patternboost,11,3,20,100,10,completed,completed,completed,0,0,22,21,22,1,0,solved,5,target_reached,992.35,16.54,2000,500,0.1,0.1,1000,2000,cpu,0,7200,fixed_timeout_20260702_012952_N11_S3,/Users/pranavr/Developer/Work/STRIDE/fixed_timeout_runs/patternboost/20260702_012952/N11/initial_generation.log,/Users/pranavr/Developer/Work/STRIDE/fixed_timeout_runs/patternboost/20260702_012952/N11/training.log
patternboost,12,3,20,100,10,completed,completed,completed,0,0,24,23,24,1,0,solved,13,target_reached,2633.48,43.89,2000,500,0.1,0.1,1000,2000,cpu,0,7200,fixed_timeout_20260702_012952_N12_S3,/Users/pranavr/Developer/Work/STRIDE/fixed_timeout_runs/patternboost/20260702_012952/N12/initial_generation.log,/Users/pranavr/Developer/Work/STRIDE/fixed_timeout_runs/patternboost/20260702_012952/N12/training.log
patternboost,13,3,20,100,10,timeout,completed,timeout,0,,26,24,25,0,1,timeout,33,wrapper_timeout,7200.18,120.0,2000,500,0.1,0.1,1000,2000,cpu,0,7200,fixed_timeout_20260702_012952_N13_S3,/Users/pranavr/Developer/Work/STRIDE/fixed_timeout_runs/patternboost/20260702_012952/N13/initial_generation.log,/Users/pranavr/Developer/Work/STRIDE/fixed_timeout_runs/patternboost/20260702_012952/N13/training.log
patternboost,14,3,20,100,10,timeout,completed,timeout,0,,28,24,27,0,1,timeout,30,wrapper_timeout,7200.69,120.01,2000,500,0.1,0.1,1000,2000,cpu,0,7200,fixed_timeout_20260702_012952_N14_S3,/Users/pranavr/Developer/Work/STRIDE/fixed_timeout_runs/patternboost/20260702_012952/N14/initial_generation.log,/Users/pranavr/Developer/Work/STRIDE/fixed_timeout_runs/patternboost/20260702_012952/N14/training.log
patternboost,15,3,20,100,10,timeout,completed,timeout,0,,30,26,28,0,2,timeout,27,wrapper_timeout,7200.27,120.0,2000,500,0.1,0.1,1000,2000,cpu,0,7200,fixed_timeout_20260702_012952_N15_S3,/Users/pranavr/Developer/Work/STRIDE/fixed_timeout_runs/patternboost/20260702_012952/N15/initial_generation.log,/Users/pranavr/Developer/Work/STRIDE/fixed_timeout_runs/patternboost/20260702_012952/N15/training.log
patternboost,16,3,20,100,10,timeout,completed,timeout,0,,32,27,30,0,2,timeout,24,wrapper_timeout,7200.07,120.0,2000,500,0.1,0.1,1000,2000,cpu,0,7200,fixed_timeout_20260702_012952_N16_S3,/Users/pranavr/Developer/Work/STRIDE/fixed_timeout_runs/patternboost/20260702_012952/N16/initial_generation.log,/Users/pranavr/Developer/Work/STRIDE/fixed_timeout_runs/patternboost/20260702_012952/N16/training.log
patternboost,17,3,20,100,10,timeout,completed,timeout,0,,34,28,32,0,2,timeout,21,wrapper_timeout,7201.0,120.02,2000,500,0.1,0.1,1000,2000,cpu,0,7200,fixed_timeout_20260702_012952_N17_S3,/Users/pranavr/Developer/Work/STRIDE/fixed_timeout_runs/patternboost/20260702_012952/N17/initial_generation.log,/Users/pranavr/Developer/Work/STRIDE/fixed_timeout_runs/patternboost/20260702_012952/N17/training.log
patternboost,18,3,20,100,10,timeout,completed,timeout,0,,36,30,33,0,3,timeout,18,wrapper_timeout,7200.15,120.0,2000,500,0.1,0.1,1000,2000,cpu,0,7200,fixed_timeout_20260702_012952_N18_S3,/Users/pranavr/Developer/Work/STRIDE/fixed_timeout_runs/patternboost/20260702_012952/N18/initial_generation.log,/Users/pranavr/Developer/Work/STRIDE/fixed_timeout_runs/patternboost/20260702_012952/N18/training.log
patternboost,19,3,20,100,10,timeout,completed,timeout,0,,38,30,35,0,3,timeout,14,wrapper_timeout,7200.41,120.01,2000,500,0.1,0.1,1000,2000,cpu,0,7200,fixed_timeout_20260702_012952_N19_S3,/Users/pranavr/Developer/Work/STRIDE/fixed_timeout_runs/patternboost/20260702_012952/N19/initial_generation.log,/Users/pranavr/Developer/Work/STRIDE/fixed_timeout_runs/patternboost/20260702_012952/N19/training.log
